item_abyssal_blade 6400 base [item_basher,item_vanguard,item_recipe_abyssal_blade,]
item_aegis 0 base []
item_aeon_disk 3350 base [item_recipe_aeon_disk,item_vitality_booster,item_energy_booster,]
item_aether_lens 2350 base [item_void_stone,item_recipe_aether_lens,item_energy_booster,]
item_ancient_janggo 1615 base [item_recipe_ancient_janggo,item_bracer,item_sobi_mask,item_wind_lace,]
item_arcane_boots 1400 base [item_energy_booster,item_boots,]
item_armlet 2370 base [item_recipe_armlet,item_gloves,item_blades_of_attack,item_helm_of_iron_will,]
item_assault 5250 base [item_recipe_assault,item_hyperstone,item_platemail,item_chainmail,]
item_banana 0 base []
item_basher 2700 baseside [item_recipe_basher,item_belt_of_strength,item_javelin,]
item_belt_of_strength 450 base []
item_bfury 4100 base [item_pers,item_demon_edge,item_quelling_blade,]
item_black_king_bar 3975 base [item_recipe_black_king_bar,item_ogre_axe,item_mithril_hammer,]
item_blade_mail 2200 base [item_robe,item_chainmail,item_broadsword,]
item_blade_of_alacrity 1000 base []
item_blades_of_attack 420 base []
item_blight_stone 300 base []
item_blink 2250 baseside []
item_bloodstone 4900 base [item_soul_booster,item_pers,]
item_bloodthorn 7195 base [item_lesser_crit,item_recipe_bloodthorn,item_orchid,]
item_boots 500 baseside []
item_boots_of_elves 450 baseside []
item_bottle 650 base []
item_bracer 465 base [item_circlet,item_gauntlets,item_recipe_bracer,]
item_branches 50 base []
item_broadsword 1200 baseside []
item_buckler 800 base [item_recipe_buckler,item_branches,item_chainmail,]
item_butterfly 5525 base [item_eagle,item_quarterstaff,item_talisman_of_evasion,]
item_chainmail 550 baseside []
item_cheese 1000 base []
item_circlet 165 base []
item_clarity 50 base []
item_claymore 1400 base []
item_cloak 550 baseside []
item_courier 50 base []
item_crimson_guard 3550 base [item_recipe_crimson_guard,item_vanguard,item_buckler,]
item_cyclone 2750 base [item_recipe_cyclone,item_void_stone,item_staff_of_wizardry,item_wind_lace,]
item_dagon 2715 base [item_recipe_dagon,item_null_talisman,item_staff_of_wizardry,]
item_dagon_2 3965 base [item_dagon,item_recipe_dagon,]
item_dagon_3 5215 base [item_dagon_2,item_recipe_dagon,]
item_dagon_4 6465 base [item_dagon_3,item_recipe_dagon,]
item_dagon_5 7715 base [item_dagon_4,]
item_demon_edge 2200 secret []
item_desolator 3500 base [item_mithril_hammer,item_blight_stone,]
item_diffusal_blade 3150 base [item_recipe_diffusal_blade,item_robe,item_blade_of_alacrity,item_blade_of_alacrity,]
item_diffusal_blade_2 0 base [item_diffusal_blade,item_recipe_diffusal_blade,]
item_dragon_lance 1900 base [item_boots_of_elves,item_boots_of_elves,item_ogre_axe,]
item_dust 180 base []
item_eagle 3200 secret []
item_echo_sabre 2650 base [item_oblivion_staff,item_ogre_axe,]
item_enchanted_mango 100 base []
item_energy_booster 900 sidesecret []
item_ethereal_blade 4700 base [item_eagle,item_ghost,]
item_faerie_fire 70 base []
item_flask 110 base []
item_flying_courier 0 base []
item_force_staff 2250 base [item_recipe_force_staff,item_staff_of_wizardry,item_ring_of_health,]
item_gauntlets 135 base []
item_gem 900 base []
item_ghost 1500 base []
item_glimmer_cape 1850 base [item_shadow_amulet,item_cloak,]
item_gloves 500 baseside []
item_greater_crit 5320 base [item_recipe_greater_crit,item_lesser_crit,item_demon_edge,]
item_greevil_whistle 0 base []
item_greevil_whistle_toggle 0 base []
item_guardian_greaves 5450 base [item_recipe_guardian_greaves,item_mekansm,item_arcane_boots,]
item_halloween_candy_corn 0 base []
item_halloween_rapier 0 base []
item_hand_of_midas 2150 base [item_gloves,item_recipe_hand_of_midas,]
item_headdress 650 base [item_recipe_headdress,item_branches,item_ring_of_regen,]
item_heart 5200 base [item_vitality_booster,item_vitality_booster,item_reaver,]
item_heavens_halberd 3400 base [item_sange,item_talisman_of_evasion,]
item_helm_of_iron_will 900 baseside []
item_helm_of_the_dominator 2000 base [item_headdress,item_gloves,item_ring_of_health,]
item_hood_of_defiance 1700 base [item_cloak,item_ring_of_health,item_ring_of_regen,]
item_hurricane_pike 4615 base [item_dragon_lance,item_force_staff,item_wraith_band,]
item_hyperstone 2000 secret []
item_infused_raindrop 225 base []
item_invis_sword 2700 base [item_claymore,item_shadow_amulet,]
item_iron_talon 0 base []
item_javelin 1100 base []
item_kaya 1950 base [item_recipe_kaya,item_robe,item_staff_of_wizardry,]
item_lesser_crit 2120 base [item_recipe_lesser_crit,item_blades_of_attack,item_broadsword,]
item_lifesteal 1100 baseside []
item_lotus_orb 4000 base [item_pers,item_platemail,item_energy_booster,]
item_maelstrom 2800 base [item_recipe_maelstrom,item_gloves,item_mithril_hammer,]
item_magic_stick 200 baseside []
item_magic_wand 400 base [item_enchanted_mango,item_branches,item_branches,item_magic_stick,]
item_manta 5000 base [item_recipe_manta,item_yasha,item_ultimate_orb,]
item_mantle 135 base []
item_mask_of_madness 1975 base [item_quarterstaff,item_lifesteal,]
item_medallion_of_courage 1175 base [item_chainmail,item_blight_stone,item_sobi_mask,]
item_mekansm 2350 base [item_recipe_mekansm,item_headdress,item_buckler,]
item_meteor_hammer 2625 base [item_ring_of_regen,item_staff_of_wizardry,item_ogre_axe,item_sobi_mask,]
item_mithril_hammer 1600 base []
item_mjollnir 5700 base [item_recipe_mjollnir,item_maelstrom,item_hyperstone,]
item_monkey_king_bar 4200 base [item_hyperstone,item_javelin,item_javelin,]
item_moon_shard 4000 base [item_hyperstone,item_hyperstone,]
item_mystery_arrow 0 base []
item_mystery_hook 0 base []
item_mystery_missile 0 base []
item_mystery_toss 0 base []
item_mystery_vacuum 0 base []
item_mystic_staff 2700 secret []
item_necronomicon 2400 base [item_recipe_necronomicon,item_sobi_mask,item_belt_of_strength,]
item_necronomicon_2 3700 base [item_necronomicon,item_recipe_necronomicon,]
item_necronomicon_3 5000 base [item_necronomicon_2,item_recipe_necronomicon,]
item_null_talisman 465 base [item_recipe_null_talisman,item_mantle,item_circlet,]
item_nullifier 4700 base [item_helm_of_iron_will,item_relic,]
item_oblivion_staff 1650 base [item_robe,item_quarterstaff,item_sobi_mask,]
item_octarine_core 5900 base [item_soul_booster,item_mystic_staff,]
item_ogre_axe 1000 base []
item_orb_of_venom 275 base []
item_orchid 4075 base [item_recipe_orchid,item_oblivion_staff,item_oblivion_staff,]
item_pers 1700 base [item_void_stone,item_ring_of_health,]
item_phase_boots 1340 base [item_blades_of_attack,item_blades_of_attack,item_boots,]
item_pipe 3150 base [item_recipe_pipe,item_hood_of_defiance,item_headdress,]
item_platemail 1400 secret []
item_point_booster 1200 secret []
item_poor_mans_shield 0 base []
item_power_treads 1450 base [item_gloves,item_boots_of_elves,item_belt_of_strength,]
item_present 0 base []
item_quarterstaff 875 base []
item_quelling_blade 200 baseside []
item_radiance 5150 base [item_recipe_radiance,item_relic,]
item_rapier 6000 base [item_relic,item_demon_edge,]
item_reaver 3000 secret []
item_recipe_abyssal_blade 1550 base []
item_recipe_aeon_disk 1350 base []
item_recipe_aether_lens 600 base []
item_recipe_ancient_janggo 575 base []
item_recipe_arcane_boots 0 base []
item_recipe_armlet 550 base []
item_recipe_assault 1300 base []
item_recipe_basher 1150 base []
item_recipe_bfury 0 base []
item_recipe_black_king_bar 1375 base []
item_recipe_blade_mail 0 base []
item_recipe_bloodstone 0 base []
item_recipe_bloodthorn 1000 base []
item_recipe_bracer 165 base []
item_recipe_buckler 200 base []
item_recipe_butterfly 0 base []
item_recipe_crimson_guard 600 base []
item_recipe_cyclone 650 base []
item_recipe_dagon 1250 base []
item_recipe_dagon_2 0 base []
item_recipe_dagon_3 0 base []
item_recipe_dagon_4 0 base []
item_recipe_dagon_5 0 base []
item_recipe_desolator 0 base []
item_recipe_diffusal_blade 700 base []
item_recipe_diffusal_blade_2 0 base []
item_recipe_dragon_lance 0 base []
item_recipe_echo_sabre 0 base []
item_recipe_ethereal_blade 0 base []
item_recipe_force_staff 400 base []
item_recipe_glimmer_cape 0 base []
item_recipe_greater_crit 1000 base []
